metodo,tempo,iteracoes
mergeSort_2048_numeros,1566900,99214
mergeSort_1048576_numeros,279799000,88454722
mergeSort_32_numeros,16600,790
mergeSort_2048_numeros,694200,99110
mergeSort_1048576_numeros,275857000,88454418
mergeSort_32_numeros,29400,782
mergeSort_2048_numeros,1566100,99206
mergeSort_1048576_numeros,290501500,88457164
mergeSort_32_numeros,29900,788
mergeSort_2048_numeros,1535300,99186
mergeSort_1048576_numeros,278999300,88455660
mergeSort_32_numeros,10100,784
mergeSort_2048_numeros,1593900,99300
mergeSort_1048576_numeros,280919200,88457452
mergeSort_32_numeros,29400,786
mergeSort_2048_numeros,1523400,99328
mergeSort_1048576_numeros,285367200,88455390
mergeSort_32_numeros,29400,778
mergeSort_2048_numeros,1529400,99242
mergeSort_1048576_numeros,278390500,88456788
mergeSort_32_numeros,28000,784
mergeSort_2048_numeros,1528900,99280
mergeSort_1048576_numeros,301040700,88455184
mergeSort_32_numeros,29200,772
mergeSort_2048_numeros,1538800,99276
mergeSort_1048576_numeros,291713200,88456232
mergeSort_32_numeros,16900,760
mergeSort_2048_numeros,634800,99132
mergeSort_1048576_numeros,367298100,88458638
mergeSort_32_numeros,16000,788
mergeSort_2048_numeros,376000,99212
mergeSort_1048576_numeros,302275700,88455232
mergeSort_32_numeros,30100,778
mergeSort_2048_numeros,1429700,99190
mergeSort_1048576_numeros,306261100,88454780
mergeSort_32_numeros,28100,778
mergeSort_2048_numeros,1551000,99196
mergeSort_1048576_numeros,331227200,88455844
mergeSort_32_numeros,10900,784
mergeSort_2048_numeros,659700,99230
mergeSort_1048576_numeros,287113300,88454214
mergeSort_32_numeros,32900,776
mergeSort_2048_numeros,1680500,99132
mergeSort_1048576_numeros,328286700,88457116
mergeSort_32_numeros,28200,778
mergeSort_2048_numeros,1401500,99232
mergeSort_1048576_numeros,290524600,88455416
mergeSort_32_numeros,29300,772
mergeSort_2048_numeros,1591400,99152
mergeSort_1048576_numeros,280344500,88454072
mergeSort_32_numeros,30800,776
mergeSort_2048_numeros,1614300,99208
mergeSort_1048576_numeros,309991200,88454042
mergeSort_32_numeros,17700,778
mergeSort_2048_numeros,799700,99266
mergeSort_1048576_numeros,293034200,88456602
mergeSort_32_numeros,28800,778
mergeSort_2048_numeros,1546900,99290
mergeSort_1048576_numeros,284468300,88452658
mergeSort_32_numeros,28500,782
mergeSort_2048_numeros,1534900,99284
mergeSort_1048576_numeros,389047200,88456746
mergeSort_32_numeros,28600,782
mergeSort_2048_numeros,1583300,99326
mergeSort_1048576_numeros,414986200,88455312
mergeSort_32_numeros,18400,770
mergeSort_2048_numeros,1256200,99350
mergeSort_1048576_numeros,417448800,88458602
mergeSort_32_numeros,20600,770
mergeSort_2048_numeros,1046700,99154
mergeSort_1048576_numeros,401055500,88455936
mergeSort_32_numeros,16800,792
mergeSort_2048_numeros,805400,99154
mergeSort_1048576_numeros,431175900,88457582
mergeSort_32_numeros,21200,788
mergeSort_2048_numeros,1568900,99242
mergeSort_1048576_numeros,412229200,88455326
mergeSort_32_numeros,32400,782
mergeSort_2048_numeros,1290600,99192
mergeSort_1048576_numeros,429276600,88457498
mergeSort_32_numeros,35400,788
mergeSort_2048_numeros,1250600,99296
mergeSort_1048576_numeros,430532600,88457728
mergeSort_32_numeros,33700,786
mergeSort_2048_numeros,974500,99264
mergeSort_1048576_numeros,408825600,88453452
mergeSort_32_numeros,27600,788
mergeSort_2048_numeros,1392000,99144
mergeSort_1048576_numeros,431209700,88455556
mergeSort_32_numeros,18300,782
mergeSort_2048_numeros,1183700,99150
mergeSort_1048576_numeros,446422600,88454054
mergeSort_32_numeros,47200,776
mergeSort_2048_numeros,810100,99198
mergeSort_1048576_numeros,520757700,88453336
mergeSort_32_numeros,33600,788
mergeSort_2048_numeros,1588500,99248
mergeSort_1048576_numeros,412378200,88454028
mergeSort_32_numeros,21800,784
mergeSort_2048_numeros,653700,99206
mergeSort_1048576_numeros,426661200,88453884
mergeSort_32_numeros,24000,786
mergeSort_2048_numeros,670200,99178
mergeSort_1048576_numeros,455182600,88454276
mergeSort_32_numeros,23800,772
mergeSort_2048_numeros,1002700,99260
mergeSort_1048576_numeros,431265000,88456818
mergeSort_32_numeros,17600,788
mergeSort_2048_numeros,543400,99042
mergeSort_1048576_numeros,425146000,88454092
mergeSort_32_numeros,41400,780
mergeSort_2048_numeros,1868000,99204
mergeSort_1048576_numeros,426433200,88456556
mergeSort_32_numeros,34200,786
mergeSort_2048_numeros,890700,99232
mergeSort_1048576_numeros,419975400,88455524
mergeSort_32_numeros,22800,788
mergeSort_2048_numeros,1716200,99202
mergeSort_1048576_numeros,412378600,88454908
mergeSort_32_numeros,22700,772
mergeSort_2048_numeros,703500,99214
mergeSort_1048576_numeros,441149900,88454442
mergeSort_32_numeros,23100,760
mergeSort_2048_numeros,665800,99120
mergeSort_1048576_numeros,407206300,88453858
mergeSort_32_numeros,19500,792
mergeSort_2048_numeros,1085800,99188
mergeSort_1048576_numeros,423694800,88456252
mergeSort_32_numeros,31900,788
mergeSort_2048_numeros,795100,99124
mergeSort_1048576_numeros,409210600,88456236
mergeSort_32_numeros,23000,788
mergeSort_2048_numeros,780100,99238
mergeSort_1048576_numeros,438909500,88456994
mergeSort_32_numeros,32100,776
mergeSort_2048_numeros,1248100,99200
mergeSort_1048576_numeros,411749200,88454798
mergeSort_32_numeros,31000,780
mergeSort_2048_numeros,1450900,99136
mergeSort_1048576_numeros,424086900,88455316
mergeSort_32_numeros,31700,774
mergeSort_2048_numeros,1573800,99244
mergeSort_1048576_numeros,406061400,88456526
mergeSort_32_numeros,15500,776
mergeSort_2048_numeros,534200,99186
mergeSort_1048576_numeros,435848200,88454132
mergeSort_32_numeros,37200,776
mergeSort_2048_numeros,551000,99242
mergeSort_1048576_numeros,507388400,88456534
mergeSort_32_numeros,36900,780
mergeSort_2048_numeros,1208100,99280
mergeSort_1048576_numeros,428853400,88455992
mergeSort_32_numeros,32100,786
mergeSort_2048_numeros,1412400,99180
mergeSort_1048576_numeros,419191500,88455574
mergeSort_32_numeros,19300,786
mergeSort_2048_numeros,645800,99218
mergeSort_1048576_numeros,429551600,88454286
mergeSort_32_numeros,32700,782
mergeSort_2048_numeros,1789500,99220
mergeSort_1048576_numeros,410419500,88457124
mergeSort_32_numeros,22400,784
mergeSort_2048_numeros,661700,99210
mergeSort_1048576_numeros,441483100,88451430
mergeSort_32_numeros,26500,788
mergeSort_2048_numeros,1122900,99218
mergeSort_1048576_numeros,425552500,88457004
mergeSort_32_numeros,24400,786
mergeSort_2048_numeros,1595200,99296
mergeSort_1048576_numeros,421669600,88456002
mergeSort_32_numeros,19900,784
mergeSort_2048_numeros,835100,99186
mergeSort_1048576_numeros,441086800,88458856
mergeSort_32_numeros,25300,780
mergeSort_2048_numeros,680800,99222
mergeSort_1048576_numeros,416923900,88453788
mergeSort_32_numeros,22200,786
mergeSort_2048_numeros,913700,99086
mergeSort_1048576_numeros,472120500,88454338
mergeSort_32_numeros,41000,780
mergeSort_2048_numeros,1605900,99200
mergeSort_1048576_numeros,433089500,88456654
mergeSort_32_numeros,32600,780
mergeSort_2048_numeros,761900,99252
mergeSort_1048576_numeros,419146800,88456308
mergeSort_32_numeros,32500,778
mergeSort_2048_numeros,1561400,99224
mergeSort_1048576_numeros,422963200,88455744
mergeSort_32_numeros,34600,784
